topic,word1,word2,word3,word4,word5
1,pain,chronic,tylenol,gabapentin,percocet
2,ct,scan,head,wife,ultrasound
3,inr,dosage,mg,thx,wife
4,hip,tylenol,xray,oa,physio
5,insulin,dm,lantus,diabetes,fbs
6,flu,diet,exercise,ldl,medications
7,mg,tablet,qhs,tablets,hydromorphone
8,surgery,hospital,surgeon,eye,discharge
9,er,feeling,hospital,discharge,admitted
10,urine,uti,macrobid,culture,neg
11,pharmacy,pharmacist,blister,medications,script
12,feels,feeling,feel,husband,worried
13,lab,fear,ida,rpn,ml
14,son,ses,session,na,cognitive
15,prn,stable,tylenol,bilat,ed
16,coumadin,rpn,labs,mg,inr
17,abdo,diarrhea,soft,stool,fever
18,neck,headache,head,migraine,gravol
19,leg,swelling,edema,legs,calf
20,back,physio,spine,legs,lumbar
21,chest,clear,sob,heart,edema
22,referral,ccac,mental,sw,msg
23,warfarin,anticoagulation,bleeding,inr,student
24,blood,pressure,glucose,bleeding,diabetes
25,bid,tabs,tab,percocet,lyrica
26,rx,db,pharm,tabs,rxs
27,wt,weight,lbs,kg,loss
28,knee,oa,swelling,xray,medial
29,mri,head,spine,neg,xray
30,od,mg,diabetes,vitamin,labs
31,smoking,cessation,quit,patch,smoke
32,shoulder,arm,physio,cuff,rotator
33,mood,anxiety,depression,feeling,mental
34,meds,med,stable,chronic,oe
35,symptoms,treatment,uti,urinary,nausea
36,bp,tru,htn,wt,norvasc
37,bw,dm,stable,tsh,iron
38,daughter,ccac,hospital,family,house
39,dose,bloods,msg,db,thx
40,foot,toe,feet,ankle,swelling
41,medication,labs,wife,medications,dosage
42,work,stress,job,feel,sick
43,injection,arm,allergy,ml,lt
44,skin,rash,lesion,breast,lesions
45,sleep,sleeping,qhs,insomnia,asleep
46,cough,throat,fever,sore,clear
47,wound,cm,ccac,infection,head
48,ear,ears,hearing,rt,wax
49,social,worker,client,msw,mother
50,prescription,aa,pharm,percocet,patches
